,Gen,Pair,Release,HcondE,HcondN,MI_EN,MI_NE,TE_EN,TE_NE,TE_star_EN,TE_star_NE,TE_star2_EN,TE_star2_NE,HcondEN,HcondNE,HcondEN2,HcondNE2
232,4.0,26.0,2.0,0.877057416745415,0.8371671178783562,0.12458658534442013,0.1216883661937258,0.04914423561030401,0.05410203126203528,0.032796589709788826,0.03499790627539667,0.025034447513653024,0.02525629618634717,0.8484036069092782,0.8010789759231292,0.8114671177057406,0.7700276189493098
233,4.0,26.0,3.0,0.9063650427730507,0.9255096656653021,0.05673007222887527,0.07808083311596015,0.02755704868869846,0.04183140878274649,0.01730389555123102,0.03206222276096726,0.011475236019397261,0.028065618660049196,0.886776192756745,0.8998589061128488,0.8580275531219215,0.8690968231346807
234,4.0,26.0,4.0,0.8237446542295545,0.8905315782084395,0.025158929650524353,0.02644952059474792,0.013309747544849593,0.012355843967012614,0.00675140846989164,0.010142345893296323,0.006395502642229989,0.0072947732339891935,0.8208023518256691,0.8792616431352447,0.7835832211875209,0.845207678374015
235,4.0,26.0,6.0,0.9431224505884267,0.9762669171735179,0.013908456813573888,0.016770203544798523,0.010947301789070885,0.011222799196908939,0.010715491741819516,0.010278292072551043,0.008997110082135329,0.007473510604705247,0.9379822821704868,0.9638415832834051,0.8881238174035344,0.9299507134972727
236,4.0,26.0,10.0,0.9910329609616053,0.9882909726027783,0.00771065046033792,0.006924798539789556,0.006874587281580524,0.007116638403354747,0.007801746645530905,0.0053082927817733605,0.005782236874765534,0.005899749980368796,0.9796159536919884,0.9863713410886907,0.9589413568422986,0.9508050102253769
237,4.0,26.0,11.0,0.9941228835948449,0.9982510804139574,0.020142538857656378,0.018061515682033624,0.02301755403624739,0.016863123638851008,0.0215956165809148,0.01881613376390545,0.017905174872021146,0.01409069624414716,0.9891968138036007,0.9840869219845252,0.9662891737245598,0.9693504977666367
238,4.0,26.0,12.0,0.9772325974298068,0.9664347560383866,0.049579402689064356,0.04551061459329975,0.035643222133075136,0.03455292295907175,0.03323145556673657,0.02676950794183508,0.024391780201541202,0.0210271597966023,0.9478029724573078,0.9598740815032325,0.9313745895253356,0.9254044991624895
239,4.0,27.0,2.0,0.8673567464520999,0.8818092009268439,0.1263771739231354,0.08575018920661215,0.06799082560906089,0.0338400516762809,0.038839782928899336,0.024559333735586275,0.030781737365446205,0.012940047275044275,0.8502983897781551,0.8185387722975004,0.7938862631824466,0.7788461464279455
240,4.0,27.0,4.0,0.8879296315351339,0.8756401237141518,0.11698410008359361,0.08743187989951529,0.057662504523929625,0.037896402522464845,0.04187733045893616,0.025475410161453382,0.029597731878489686,0.012008529509263344,0.8597084018358463,0.8282889361748822,0.807322307911563,0.7721411231084527
241,4.0,28.0,1.0,0.8778680569329482,0.90955912200316,0.062025691233304814,0.04884387602263418,0.03165249809564408,0.01881111021102555,0.018622712441630274,0.011965361295045884,0.014563356070855349,0.008081141142767478,0.8625917345054446,0.8846107170494513,0.8263258397537143,0.8455395593421446
242,4.0,28.0,2.0,0.9432099015077999,0.920698545425564,0.039080100020357555,0.04353320622489676,0.019420936233731867,0.02556810976907431,0.014953834268539357,0.01516731338253452,0.014189420714820322,0.015369518839648766,0.9164747707162648,0.9035104487727019,0.8879543128063125,0.8695199475130488
243,4.0,28.0,4.0,0.8905396974274733,0.8747961606256359,0.0858930402868503,0.05737355212041817,0.042691287963975366,0.025138441991615634,0.027889070873275745,0.013466045803563809,0.023636775574933377,0.010222501442482823,0.8670287377065538,0.8433629412660308,0.8265902170952497,0.8058311621174892
244,4.0,28.0,5.0,0.9179078823471166,0.8590310286576759,0.04891244353911928,0.041680857195283805,0.03257860551024594,0.023206450669231993,0.02471678543241218,0.015017283789832803,0.02095904579977992,0.008645097202813368,0.9003773580754566,0.8428948902263775,0.8710287871825737,0.7846699526488137
245,4.0,28.0,6.0,0.95741237033217,0.9533278690762561,0.0419505357723553,0.04093265426337078,0.023878679495309196,0.02385012997240743,0.016413631493316316,0.0169077704793974,0.013588202866141597,0.01111651775575373,0.9366178543434653,0.9253151152700108,0.8845720152923175,0.8984071299889163
246,4.0,28.0,7.0,0.9705048637277316,0.9822875754076509,0.038746652067993104,0.03643962177212989,0.029135001762711887,0.024298596949505757,0.02709756389773821,0.02035437467997392,0.02106146785017593,0.014553679720726631,0.9424313835424392,0.9613234090682581,0.8973091724931637,0.9251526644097638
247,4.0,28.0,8.0,0.8075149969094204,0.8031363417325346,0.06733369246984044,0.06733369246984044,0.01971432413814278,0.02088447968215057,0.013915360460778015,0.011435332159071443,0.01256936549295773,0.011077674368823232,0.7935010636482442,0.7949349227262206,0.7742469686173417,0.7830793273932177
248,4.0,28.0,9.0,0.9571522868531528,0.9417227305953172,0.03876544518557212,0.0639918600645526,0.02225518704779761,0.04606841458101285,0.018326478921012246,0.03334029284863771,0.0126248090743033,0.025853606972300103,0.9222237405824965,0.9312471391177795,0.8815148795808208,0.8965124649102179
249,4.0,28.0,10.0,0.9191967663750484,0.9485014578424302,0.0643225795724014,0.06532587544964108,0.04035015299867495,0.03553519009177042,0.026629303456374487,0.030350880846878425,0.017388904082042078,0.022526980268847918,0.9055560510056122,0.9185813725170315,0.8675448992913761,0.8822529778079651
250,4.0,28.0,11.0,0.9721947436814109,0.9826679109759031,0.036459891985340276,0.03223416655399758,0.028488627628983965,0.02401361948095926,0.021900580855224838,0.02018153145662538,0.017766795326719542,0.015171317504578674,0.9536263250549377,0.9585372049505785,0.9260613406058837,0.9276229231891908
251,4.0,28.0,12.0,0.9699845015496591,0.9664468310349617,0.013031233022599897,0.01679780424489019,0.007961746051242446,0.012656539119572985,0.006947404325713169,0.009370244148694695,0.00527538139038386,0.00832126675432443,0.9588955545628983,0.9602164981780112,0.9156402009319038,0.9238064711996539
252,4.0,29.0,1.0,0.843303042500049,0.8564230448058976,0.09093566790813457,0.09242279746312754,0.03334010419774658,0.032607754645768816,0.016594853132130716,0.016626127656116818,0.012256482040166716,0.014146190863292052,0.807458463775345,0.8250504210895273,0.7950089143349652,0.7934407179803111
253,4.0,29.0,2.0,0.8770813738693825,0.8747700751536921,0.08826640234880356,0.11673218834487376,0.03959084223727727,0.06313206737009969,0.028089817291265362,0.04501307261438203,0.018609039846110953,0.03533442452264257,0.8471473207132152,0.8512595689440399,0.811855092414909,0.8216623466542932
254,4.0,29.0,3.0,0.8821585156389212,0.8671356121465519,0.08827180356154996,0.09970225507697927,0.03401235405417102,0.04538320493526582,0.020303963414942228,0.023311608411848095,0.015456173348756597,0.0181842842077935,0.8338234686936046,0.8385095754840717,0.8028514138729004,0.7983568674937009
255,4.0,29.0,5.0,0.965329143321487,0.9514005983913878,0.050412357544626696,0.04682140429942949,0.032904191284162554,0.032318788206535665,0.025640268595787052,0.021945942500126048,0.019184300813781086,0.01339773125585042,0.9292884847982443,0.9262730846490348,0.8810616747014564,0.88958702850204
256,4.0,29.0,6.0,0.8734037374620124,0.8665456592901366,0.03729245387206159,0.033805667149781726,0.016651770644908748,0.014762828843824849,0.006957946654395641,0.00877440616692926,0.004676577586787634,0.008218152128164125,0.8648838227006657,0.8453674518640573,0.8144627099724908,0.7890414750943964
257,4.0,29.0,7.0,0.9158177080661563,0.8618022343112017,0.050456285799326483,0.07670658612844083,0.017317416150661957,0.043451463429745596,0.011912469589968833,0.022059516386973677,0.009458827525470337,0.01852734581750548,0.8763359030050026,0.8480869810992924,0.8451894667297188,0.8286496295681873
258,4.0,29.0,8.0,0.7935366159150659,0.7626324972512727,0.06740424244099863,0.07963657855721729,0.016043030215946663,0.024289789852066423,0.008744676920522831,0.010860001813736808,0.008216977720865604,0.01121731741812404,0.7756545934716244,0.753264709006022,0.7542069401376228,0.7438108063360267
259,4.0,29.0,9.0,0.9160978022615098,0.9158900145105899,0.051251094784627194,0.07043109755410981,0.021396200872965787,0.03651182332760028,0.013556944194081488,0.028282326479980746,0.011668581709038506,0.025573988038446238,0.8930102584935202,0.8961809036109034,0.8589621631242981,0.8797617156145363
260,4.0,29.0,11.0,0.9494450438332084,0.9292223488364505,0.058209739269423855,0.0830233377583176,0.031700855526502814,0.056643016409439806,0.024599938061552695,0.03904944896542606,0.014280517050462294,0.029962534478318315,0.9048442446111877,0.9125866031729037,0.8673605951366059,0.8682244343520371
261,4.0,29.0,12.0,0.9551620713515167,0.9344015023015062,0.034574128534542226,0.05308785972167884,0.01908437383360262,0.035852706260183664,0.015978101722120108,0.02465647339154975,0.010693785174858306,0.019418257295358732,0.9237168972768037,0.9266436700937883,0.8768340521837468,0.8931410915252171
262,4.0,30.0,1.0,0.8567298026652168,0.8203789293059527,0.1313511909338565,0.11912256853205361,0.046549067661143306,0.045341852713491226,0.03068543390504619,0.020434817357952273,0.024228671015627867,0.015171743127103898,0.8087748909221553,0.7863863762993919,0.7873433575723032,0.7414329242579623
263,4.0,30.0,2.0,0.8976181809568136,0.9123185165226444,0.0683057121077768,0.07140201191586049,0.034298871987584745,0.03524562741649229,0.022292453577990035,0.023223029277466445,0.01645398045960933,0.016924661310339317,0.8730203557308926,0.8839079278492123,0.8456532556214964,0.840756735750706
264,4.0,30.0,3.0,0.8793483019385455,0.9035342207350894,0.08797115526074095,0.10056643668142717,0.04037323663807779,0.04527962058877888,0.025554224318130814,0.03010993762301073,0.01727633232527337,0.023364812047602435,0.8451599196695181,0.8756336821521145,0.8136047197116194,0.8444788743875833
265,4.0,30.0,4.0,0.8932346334087886,0.920467350167421,0.08085931530881085,0.07726566897647702,0.04412190297857799,0.03883031434738493,0.028554086388575595,0.028416554683357464,0.020758269571847343,0.01990230297105189,0.8572344300815202,0.8895630938431145,0.8234854203639967,0.8528132118016232
266,4.0,30.0,5.0,0.9499611286932819,0.9422623789537458,0.026730022008960352,0.05677145267539463,0.012810130114246476,0.039051972042580374,0.009345406314999138,0.025975888989449913,0.005146457643604663,0.021688488850535315,0.9080937659454107,0.9288107805711832,0.8700248986631149,0.8906358148812958
267,4.0,30.0,6.0,0.9508299328792933,0.9579490818017025,0.050123645072529754,0.04668393726797415,0.03235112936511353,0.028148004882228905,0.025799558454755456,0.02128402626844439,0.0201248093809987,0.014175287556480676,0.9292012043114086,0.9416298449918663,0.8892934888607358,0.9092728498843239
268,4.0,30.0,7.0,0.9534268070424122,0.9682912910643602,0.06409275716783513,0.048673184995964736,0.047760782291874415,0.029969316351371234,0.03633379557691807,0.022592502954455806,0.025590112564918943,0.013961669311586267,0.9166547320185487,0.9316233199160442,0.8747436800916253,0.8871712703937176
269,4.0,30.0,8.0,0.8363541861751933,0.8673532541633443,0.13333060827151488,0.10936894176502987,0.056965782741907,0.033597329087782235,0.037040984414861367,0.024108767982701007,0.03198009946805147,0.018174423099604375,0.8197126775657173,0.8294263157454242,0.7996269897366499,0.8147863988830713
270,4.0,30.0,9.0,0.901511239867882,0.9186783056808902,0.06937695750480888,0.04175477015933593,0.041863334200981095,0.018543686405346094,0.025620438650704624,0.011285293633046756,0.02292190291744145,0.008121670664270386,0.8816859127765684,0.8821552519268612,0.8519670672970969,0.855996546390974
271,4.0,30.0,10.0,0.9413146719470293,0.921363117463222,0.05177926916795572,0.057246634345653025,0.02723877894046489,0.034908780214467194,0.02043319875776728,0.02139594093950814,0.01555970914424254,0.015237568441636373,0.9057164088303455,0.8935186855592545,0.8695724093165955,0.8633459502785787
272,4.0,30.0,11.0,0.9042338824775672,0.920947837471749,0.08121414069022359,0.05413313792739993,0.04837185797120491,0.02428951150936598,0.02987394934701726,0.01534731862158667,0.02478071123627723,0.010570995110744441,0.8784436788946102,0.8758461233544537,0.851885895497432,0.8455854524509525
273,4.0,30.0,12.0,0.9578911260686545,0.9686798225829476,0.05851788340137598,0.03186105098387504,0.04218938432111696,0.017962926963916548,0.030888913052630862,0.012585411098166688,0.026437021363677538,0.007835038409698125,0.9326186912686294,0.9286911447942217,0.9032436880897441,0.8894696379008167
274,5.0,31.0,2.0,0.8301701867809896,0.8643664191948945,0.11920194406052542,0.07566601754504743,0.06072627162468969,0.024062321313970125,0.034546260736512124,0.01677569843312332,0.028142497306880898,0.009912214944837405,0.8198323200635782,0.8221310734604099,0.7857831215457942,0.7841829807173597
275,5.0,31.0,3.0,0.9138751991193002,0.9230632919914721,0.0651640863656604,0.06675442528024567,0.035677384956632974,0.03715217634151102,0.024534751450397074,0.025175646302943555,0.018059138070910752,0.018293401839310164,0.8843961360286605,0.8874414036973546,0.8531262616183786,0.857300714951442
276,5.0,31.0,4.0,0.8962100892407063,0.8763205471987323,0.06894647217123162,0.06414017880538636,0.031924722357662194,0.030689895213620977,0.019549834967800717,0.019472922732740372,0.014115785306889617,0.012404333114989896,0.8791371084176978,0.8512298035881922,0.8253930952389288,0.8185812894609872
277,5.0,31.0,6.0,0.8797210169075534,0.8873825944939031,0.07647267210682718,0.07580719151595683,0.03406993888429266,0.03330397159900267,0.017999780876239768,0.01826067928836128,0.014264120010407222,0.013196503792924474,0.8418882118970359,0.8498804059933682,0.8074612218590924,0.817239795470849
278,5.0,31.0,7.0,0.842929788018838,0.885704912593724,0.11827333143966423,0.09291580092876384,0.057287899712897605,0.032208036786901095,0.02979842084071871,0.018860718561598766,0.023616254203659537,0.012120965189359456,0.8134748435343657,0.8318613373214796,0.7827962848217571,0.8037433979690962
279,5.0,31.0,9.0,0.7721619698234284,0.8156363806496566,0.13683977989286644,0.12231044040573935,0.04790984390970632,0.030009158181354856,0.02803860399233571,0.020660566003247283,0.025036084249867585,0.017206382397703557,0.7595549927812018,0.788026883480077,0.7480989382372725,0.7793597120944415
280,5.0,31.0,10.0,0.913961640186537,0.981183095640676,0.018457216907634688,0.011966239108705423,0.014159199585456417,0.00721291026424753,0.007648195418564541,0.006439096757401064,0.007583216066458842,0.003639803303544742,0.908183216287533,0.9633267412197939,0.8510893873232379,0.9154491746814268
281,5.0,31.0,11.0,0.8517138224968729,0.9294463959337909,0.09708865183742788,0.08132473477809166,0.05606376496665377,0.028630370993530274,0.03038622463937468,0.02165844786378468,0.02669456377339685,0.012996885144802572,0.8314157749728133,0.8812872531659233,0.7767740105932024,0.8496552026222148
282,5.0,31.0,12.0,0.89857066450663,0.9540232142732372,0.05616694688071311,0.03657652453962501,0.0389781710897974,0.016462813840196988,0.023774452418694025,0.01211934743191323,0.02004364842531281,0.0072089904729315535,0.8882351080642423,0.9234907301196178,0.833363047931694,0.8838782535865608
283,5.0,32.0,3.0,0.9657638251308647,0.961140653212623,0.024149976153809094,0.038276964061497276,0.0160753299486327,0.027658745762114245,0.012784108343100176,0.021396200127675957,0.0071398439779084555,0.017676503079234518,0.9399251687849475,0.9492953529536785,0.9085447580983446,0.9125566296274914
